Indnum,Group,Activity,Units,Consumption,Quality_of_Life_Importance__1_10,solar_powered__water_heater,gas_water_heater,electric_water_heater___peak_hou,electric_water_heater___off_peak,gas,natural_gas,hybrid,electric___peak_hours,electric___off_peak_hours,jetfuel
44,2,shower - short,count,3,94,,,,,,,1,,,
44,2,shower - long (> 3 min),count,14,78,,,,,,,,,,
44,2,bath,count,,14,,,,,,,,,,
44,2,wash-up,count,37,24,,,,,,,,,,
44,3,use of dishwasher,count,13,21,,1,,,,,,,,
44,3,use of clothes washer,count,4,45,,,,,,,,,,
44,3,use of clothes dryer,count,4,18,,,,,,,,,1,
44,3,use of cooking range,count,,,,1,,,,,,,1,
44,3,use of  oven,count,9,38,,,,,,,,,1,
44,3,use of self-clean feature of electric oven,count,3,12,,,,,,,,,,
44,3,Small kitchen appliance in the home,count,50,,,,,,,,,1,,
44,4,TV/computer use,count,63,25,,,,,,,,,,
44,5,air travel - large plane,miles,3010,44,,,,,,,,,,1
44,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
44,5,car trips- self only,miles,299,44,,,,,1,,,,,
44,5,car trips - driver and self,miles,40,19,,,,,1,,,,,
44,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
44,5,trips using public ground transportation,bags,15,56,,,,,,,,,,
44,6,bags of garbage disposed,bags,23,50,,,,,,,,,,
44,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
44,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
44,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
44,6,large items disposed,items,2,16,,,,,,,,,,
45,1,Household heating => 70F,hours,9,84,,,,,,1,,,,
45,1,Household heating < 70F,hours,4,72,,,,1,1,1,,,,
45,1,Use of heat pump,hours,,43,,,,,,,,,,
45,1,Use of air conditioner,hours,28,39,,,,,,,,,,
45,2,shower - short,count,6,94,,,,,,,,,,
45,2,shower - long (> 3 min),count,13,85,,,,,,,,,,
45,2,bath,count,,15,,,1,,,,,,,
45,2,wash-up,count,53,40,,,,,,,1,,,
45,3,use of dishwasher,count,,20,,,,,,,,,,
45,3,use of clothes washer,count,8,41,1,,,,,,,,,
45,3,use of clothes dryer,count,3,14,,,,,,,,,,
45,3,use of cooking range,count,,,,,,,,,,,,
45,3,use of  oven,count,9,33,,,,,,,,,,
45,3,use of self-clean feature of electric oven,count,3,19,,,,,,,,,,
45,3,Small kitchen appliance in the home,count,,,,,,1,,,,,,
45,4,TV/computer use,count,61,26,,,,,,,,,,
45,5,air travel - large plane,miles,3082,51,,,,,,,,,,
45,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,1
45,5,car trips- self only,miles,285,42,,,,,1,,,,,
45,5,car trips - driver and self,miles,23,34,,,,,1,,,,,
45,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
45,5,trips using public ground transportation,bags,14,62,,,,,,,,,,
45,6,bags of garbage disposed,bags,28,44,,,,,,,,,,
45,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
45,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
45,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
45,6,large items disposed,items,2,17,,,,,,,,,,
46,1,Household heating => 70F,count,7,67,,,,,,1,,,,
46,1,Household heating < 70F,count,9,84,,,,,,1,,,,
46,1,Use of heat pump,count,,43,,,,,,,,,,
46,1,Use of air conditioner,count,13,53,,,,,,,,,,
46,2,shower - short,count,7,90,,,,,,,,,,
46,2,shower - long (> 3 min),count,13,78,,,,,,,,,,
46,2,bath,count,,12,,,,,,,,,,
46,2,wash-up,count,53,42,,,,,,,1,,,
46,3,use of dishwasher,count,,20,,,,,,,,,,
46,3,use of clothes washer,count,6,37,,,,,,,,,,
46,3,use of clothes dryer,count,1,15,,,,,,,1,,1,
46,3,use of cooking range,count,,,,,,,,,,,1,
46,3,use of  oven,count,11,32,1,,,,,,,,1,
46,3,use of self-clean feature of electric oven,count,2,21,,,,,,,,,,
46,3,Small kitchen appliance in the home,count,,,,,,,,,1,,,
46,4,TV/computer use,count,58,26,,,,,,,,,,
46,5,air travel - large plane,miles,3444,44,,,,,,,,,,
46,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
46,5,car trips- self only,miles,359,49,,,,,1,,,,,
46,5,car trips - driver and self,miles,10,37,,,,,1,,,,,
46,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
46,5,trips using public ground transportation,bags,14,42,,,,,,,,,,
46,6,bags of garbage disposed,bags,20,51,,,,,,,,,,
46,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
46,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
46,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
46,6,large items disposed,items,,20,,,,,,,,,,
47,1,Household heating => 70F,hours,10,88,,1,,,,1,,,,
47,1,Household heating < 70F,hours,1,87,,1,,,,1,,,,
47,1,Use of heat pump,hours,,53,,,,,,,,,,
47,1,Use of air conditioner,hours,23,42,,,,,,,,,,
47,2,shower - short,count,8,92,,,,,,,,1,,
47,2,shower - long (> 3 min),count,40,89,,,,,,,,,,
47,2,bath,count,6,21,,,,,,,,,,
47,2,wash-up,count,33,44,,,,,,,,,,
47,3,use of dishwasher,count,,22,,,,,,,,,,
47,3,use of clothes washer,count,7,40,,,,,,,,,,
47,3,use of clothes dryer,count,1,21,,,,,,,,,,
47,3,use of cooking range,count,,,,,,,,,,,,
47,3,use of  oven,count,8,38,,,,,,,,,,
47,3,use of self-clean feature of electric oven,count,4,15,,,,,,,,,,
47,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
47,4,TV/computer use,count,63,24,,,,,,,,,,
47,5,air travel - large plane,miles,2057,50,,,,,,,,,,
47,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,1
47,5,car trips- self only,miles,452,52,,,,,1,,,,,
47,5,car trips - driver and self,miles,26,33,,,,,1,,,,,
47,5,car trips - 2+ people with multiple end points,miles,19,,,,,,1,,,,,
47,5,trips using public ground transportation,bags,18,54,,,,,,,,,,
47,6,bags of garbage disposed,bags,17,41,,,,,,,,,,
47,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
47,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
47,6,hazardous or electric items disposed,bags,2,,,,,,,,,,,
47,6,large items disposed,items,,16,,,,,,,,,,
48,1,Household heating => 70F,count,8,71,,1,,,,1,,,,
48,1,Household heating < 70F,count,6,68,,,,,,1,,,,
48,1,Use of heat pump,count,,46,,,,,,,,,,
48,1,Use of air conditioner,count,15,48,,,,,,,,,,
48,2,shower - short,count,4,92,,,,1,,,,,,
48,2,shower - long (> 3 min),count,40,73,,,,,,,,,,
48,2,bath,count,,22,,,,,,,,,,
48,2,wash-up,count,41,40,,,,,,,,,,
48,3,use of dishwasher,count,,19,,,1,,,,,,,
48,3,use of clothes washer,count,3,27,,,,,,,,,,
48,3,use of clothes dryer,count,1,21,,,,1,,,,,1,
48,3,use of cooking range,count,,,,,,,,,,,1,
48,3,use of  oven,count,9,31,,,1,,,,,,1,
48,3,use of self-clean feature of electric oven,count,2,21,,,,,,,,,,
48,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
48,4,TV/computer use,count,60,31,,,,,,,,,,
48,5,air travel - large plane,miles,3218,50,,,,,,,,,,
48,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
48,5,car trips- self only,miles,347,60,,,,,1,,,,,
48,5,car trips - driver and self,miles,26,34,,,,,1,,,,,
48,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
48,5,trips using public ground transportation,bags,17,48,,,,,,,,,,
48,6,bags of garbage disposed,bags,26,50,,,,,,,,,,
48,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
48,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
48,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
48,6,large items disposed,items,1,18,,,,,,,,,,
49,1,Household heating => 70F,hours,4,79,,,,,,1,,,,
49,1,Household heating < 70F,hours,6,88,,,1,,,1,,,,
49,1,Use of heat pump,hours,,51,,,,,,,,,,
49,1,Use of air conditioner,hours,32,50,,,,,,,,,,
49,2,shower - short,count,7,89,,1,,,,,,,,
49,2,shower - long (> 3 min),count,20,91,,,,,,,,,,
49,2,bath,count,,16,,,,,,,,,,
49,2,wash-up,count,44,36,,,,,,,,,,
49,3,use of dishwasher,count,,22,,,,,,,,,,
49,3,use of clothes washer,count,5,27,,,,,,,,,,
49,3,use of clothes dryer,count,4,16,,,1,,,,,,,
49,3,use of cooking range,count,,,,,,,,,,,,
49,3,use of  oven,count,12,32,,,,,,,,,,
49,3,use of self-clean feature of electric oven,count,4,19,,,,,,,,,,
49,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
49,4,TV/computer use,count,64,30,,,,,,,,,,
49,5,air travel - large plane,miles,2506,49,,,,,,,,,,
49,5,air travel - small  plane (<50 seats),miles,,,,,,,1,,,,,
49,5,car trips- self only,miles,268,44,,,,,1,,,,,
49,5,car trips - driver and self,miles,32,26,,,,,1,,,,,
49,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
49,5,trips using public ground transportation,bags,12,51,,,,,,,,,,
49,6,bags of garbage disposed,bags,23,51,,,,,,,,,,
49,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
49,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
49,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
49,6,large items disposed,items,,13,,,,,,,,,,
50,1,Household heating => 70F,count,1,69,,,,,,1,,1,,
50,1,Household heating < 70F,count,10,87,,1,,,,1,,,,
50,1,Use of heat pump,count,,55,,,,,,,,,,
50,1,Use of air conditioner,count,14,58,,,,,,,,,,
50,2,shower - short,count,3,92,,,,,,,,,,
50,2,shower - long (> 3 min),count,30,89,,,,,,,,,,
50,2,bath,count,,9,,,,,,,,,,
50,2,wash-up,count,46,30,,,,,,,,,,
50,3,use of dishwasher,count,,21,,1,,,,,,,,
50,3,use of clothes washer,count,4,32,,,,,,,,,,
50,3,use of clothes dryer,count,3,20,,,,,,,,,1,
50,3,use of cooking range,count,,,,,,,,,,,1,
50,3,use of  oven,count,11,40,,,,,,,,,1,
50,3,use of self-clean feature of electric oven,count,3,17,,,,,,,,1,,
50,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
50,4,TV/computer use,count,62,22,,,,,,,,,,
50,5,air travel - large plane,miles,2212,45,,,,,,,,,,
50,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
50,5,car trips- self only,miles,446,62,,,,,1,,,,,
50,5,car trips - driver and self,miles,17,37,,,,,1,,,,,
50,5,car trips - 2+ people with multiple end points,miles,18,,,,,,1,,,,,
50,5,trips using public ground transportation,bags,15,52,,,,,,,,,,
50,6,bags of garbage disposed,bags,27,41,,,,,,,,,,
50,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
50,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
50,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
50,6,large items disposed,items,2,13,,,,,,,,,,
51,1,Household heating => 70F,hours,8,61,,,1,,,1,,,,
51,1,Household heating < 70F,hours,4,89,,1,,1,,1,,,,
51,1,Use of heat pump,hours,,41,,,,,,,,,,
51,1,Use of air conditioner,hours,16,44,1,,,,,,,,,
51,2,shower - short,count,7,94,,,,,,,,,,
51,2,shower - long (> 3 min),count,16,81,,,,,,,,,,
51,2,bath,count,,22,,,,,,,,,,
51,2,wash-up,count,49,29,,,,,,,,,,
51,3,use of dishwasher,count,,19,,1,,,,,,,,
51,3,use of clothes washer,count,6,39,,,,,,,,,,
51,3,use of clothes dryer,count,2,12,,,,,,,,,,
51,3,use of cooking range,count,,,1,,,,,,,,,
51,3,use of  oven,count,10,31,,,,,,,,,,
51,3,use of self-clean feature of electric oven,count,4,21,,,,,,,,,,
51,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
51,4,TV/computer use,count,58,28,,,,,,,,,,
51,5,air travel - large plane,miles,3414,47,,,,,,,,,,
51,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
51,5,car trips- self only,miles,352,54,,,,,1,,,,,
51,5,car trips - driver and self,miles,20,23,,,,,1,,,,,
51,5,car trips - 2+ people with multiple end points,miles,10,,,,,,1,,,,,
51,5,trips using public ground transportation,bags,15,46,,,,,,,,,,
51,6,bags of garbage disposed,bags,20,41,,,,,,,,,,
51,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
51,6,bags of compost deposited (negative CF),bags,6,13,,,,,,,,,,
51,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
51,6,large items disposed,items,1,16,,,,,,,,,,
52,1,Household heating => 70F,count,2,63,,,1,,,1,,,,
52,1,Household heating < 70F,count,3,85,,,,,,1,,,,
52,1,Use of heat pump,count,-1,52,,,,1,,,,,,
52,1,Use of air conditioner,count,25,40,,,,,,,,,,
52,2,shower - short,count,2,93,,,,,,,,,,
52,2,shower - long (> 3 min),count,20,81,,,,,,,,,,
52,2,bath,count,,15,,,,,,,,,,
52,2,wash-up,count,43,29,,,,,,,,,,
52,3,use of dishwasher,count,,20,,,,,,,,,,
52,3,use of clothes washer,count,4,48,,,,,,,,,,
52,3,use of clothes dryer,count,1,20,,,,,,,,,1,
52,3,use of cooking range,count,,,,1,,,,,,,1,
52,3,use of  oven,count,11,32,1,,,,,,,,1,
52,3,use of self-clean feature of electric oven,count,1,19,,,,,1,,,,,
52,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
52,4,TV/computer use,count,64,24,,,,,,,,1,,
52,5,air travel - large plane,miles,3794,48,,,,,,,,,,
52,5,air travel - small  plane (<50 seats),miles,685,34,,,,,,,,,,
52,5,car trips- self only,miles,410,57,,,,,1,,,,,
52,5,car trips - driver and self,miles,29,21,,,,,1,,,,,
52,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
52,5,trips using public ground transportation,bags,14,47,,,,,,,,,,
52,6,bags of garbage disposed,bags,18,48,,,,,,,,,,
52,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
52,6,bags of compost deposited (negative CF),bags,4,9,,,,,,,,,,
52,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
52,6,large items disposed,items,1,13,,,,,,,,,,
53,1,Household heating => 70F,hours,10,74,,,,,,1,,,,
53,1,Household heating < 70F,hours,3,84,,1,,,,1,,,,
53,1,Use of heat pump,hours,,51,,1,,,,,,,,
53,1,Use of air conditioner,hours,24,48,,,,,,,,,,
53,2,shower - short,count,7,89,,,1,,,,,,,
53,2,shower - long (> 3 min),count,18,88,,,1,,,,,,,
53,2,bath,count,,22,,,,,,,,,,
53,2,wash-up,count,51,30,,,,,,,,,,
53,3,use of dishwasher,count,,22,,,,,,,,,,
53,3,use of clothes washer,count,4,36,,,,,,,,,,
53,3,use of clothes dryer,count,4,18,,,,,,,,,,
53,3,use of cooking range,count,,,,,,,,,,,,
53,3,use of  oven,count,11,32,,,,,,,,,,
53,3,use of self-clean feature of electric oven,count,2,12,,,,,,,,,,
53,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
53,4,TV/computer use,count,60,31,,,,,,,,,,
53,5,air travel - large plane,miles,2304,48,,,,,,,,,,
53,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
53,5,car trips- self only,miles,334,53,,,,,1,,,,,
53,5,car trips - driver and self,miles,23,23,,,,,1,,,,,
53,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
53,5,trips using public ground transportation,bags,18,55,,,,,,,,,,
53,6,bags of garbage disposed,bags,19,51,,,,,,,,,,
53,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
53,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
53,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
53,6,large items disposed,items,,16,,,,,,,,,,
54,1,Household heating => 70F,count,8,60,,,1,,,1,,,,
54,1,Household heating < 70F,count,9,81,,,,,,1,,,,
54,1,Use of heat pump,count,,42,,,,,,,,,,
54,1,Use of air conditioner,count,19,47,,,,,,,,,,
54,2,shower - short,count,7,82,,,,,,,,,,
54,2,shower - long (> 3 min),count,35,83,,,,,,,,,,
54,2,bath,count,,9,,,,,,,,,,
54,2,wash-up,count,35,38,,,,,,,,,,
54,3,use of dishwasher,count,,19,,,1,,,,,,,
54,3,use of clothes washer,count,3,44,,,,,,,,,,
54,3,use of clothes dryer,count,1,18,,,,,,,,,1,
54,3,use of cooking range,count,,,,,,,,,,,1,
54,3,use of  oven,count,8,34,,,,,,,,,1,
54,3,use of self-clean feature of electric oven,count,2,12,,,,,,,,,,
54,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
54,4,TV/computer use,count,61,25,,,,,,,,,,
54,5,air travel - large plane,miles,3621,48,,,,,,,,,,
54,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,1
54,5,car trips- self only,miles,262,57,,,,,1,,,,,
54,5,car trips - driver and self,miles,21,21,,,,,1,,,,,
54,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
54,5,trips using public ground transportation,bags,19,58,,,,,,,,,,
54,6,bags of garbage disposed,bags,22,50,,,,,,,,,,
54,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
54,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
54,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
54,6,large items disposed,items,1,17,,,,,,,,,,
55,1,Household heating => 70F,hours,5,85,,,,,,1,,,,
55,1,Household heating < 70F,hours,3,64,,,,,,1,,,,
55,1,Use of heat pump,hours,,51,1,,,,,,,,,
55,1,Use of air conditioner,hours,16,43,,,,,,,,,,
55,2,shower - short,count,4,95,,,1,,,,,,,
55,2,shower - long (> 3 min),count,16,80,,,,,,,,,,
55,2,bath,count,,12,,,,,,,,,,
55,2,wash-up,count,50,44,,,,1,,,,,,
55,3,use of dishwasher,count,,23,,,,,,,,,,
55,3,use of clothes washer,count,2,36,,,,,,,,,,
55,3,use of clothes dryer,count,2,14,,,,,,,,,,
55,3,use of cooking range,count,,,,,,,,,,,,
55,3,use of  oven,count,12,39,,,,,,,,,,
55,3,use of self-clean feature of electric oven,count,4,18,,,,,,,,,,
55,3,Small kitchen appliance in the home,count,,,,,,,,,1,,,
55,4,TV/computer use,count,59,29,,,,,,,,,,
55,5,air travel - large plane,miles,3663,41,,,,,,,,,,
55,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
55,5,car trips- self only,miles,381,48,,,,,1,,,,,
55,5,car trips - driver and self,miles,16,35,,,,,1,,,,,
55,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
55,5,trips using public ground transportation,bags,16,47,,,,,,,,,,
55,6,bags of garbage disposed,bags,21,50,,,,,,,,,,
55,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
55,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
55,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
55,6,large items disposed,items,,16,,,,,,,,,,
56,1,Household heating => 70F,count,2,91,,,,,,1,,,,
56,1,Household heating < 70F,count,3,77,,1,,1,,1,,,,
56,1,Use of heat pump,count,,55,,,,,,,,,,
56,1,Use of air conditioner,count,12,53,,1,,1,,,,,,
56,2,shower - short,count,3,97,,,,,,,,,,
56,2,shower - long (> 3 min),count,18,81,,,,,,,,,,
56,2,bath,count,,19,,,,,,,,,,
56,2,wash-up,count,47,35,,,,,,,,,,
56,3,use of dishwasher,count,,20,,,,,,,,,,
56,3,use of clothes washer,count,5,29,,,,,,,,,,
56,3,use of clothes dryer,count,1,17,,,,,,,,,1,
56,3,use of cooking range,count,,,,,,,,,,,1,
56,3,use of  oven,count,10,34,,1,,,,,,,1,
56,3,use of self-clean feature of electric oven,count,4,16,,,,,,,,,,
56,3,Small kitchen appliance in the home,count,61,,,,,,,,,,,
56,4,TV/computer use,count,63,26,,,,,,,,,,
56,5,air travel - large plane,miles,3217,45,,,,,,,,,,1
56,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
56,5,car trips- self only,miles,334,47,,,,,1,,,,,
56,5,car trips - driver and self,miles,25,19,,,,,1,,,,,
56,5,car trips - 2+ people with multiple end points,miles,19,,,,,,1,,,,,
56,5,trips using public ground transportation,bags,19,61,,,,,,,,,,
56,6,bags of garbage disposed,bags,22,43,,,,,,,,,,
56,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
56,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
56,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
56,6,large items disposed,items,,19,,,,,,,,,,
57,1,Household heating => 70F,hours,6,67,,,,,,1,,,,
57,1,Household heating < 70F,hours,6,81,,1,,,,1,,,,
57,1,Use of heat pump,hours,,43,,,,,,,,1,,
57,1,Use of air conditioner,hours,26,54,,,,1,,,,,,
57,2,shower - short,count,3,91,,,,,,,,,,
57,2,shower - long (> 3 min),count,26,91,,,,,,,,,,
57,2,bath,count,,21,,,,,,,,,,
57,2,wash-up,count,51,42,,,,,,,,1,,
57,3,use of dishwasher,count,,21,,,,,,,,,,
57,3,use of clothes washer,count,5,46,,,,,,,,,,
57,3,use of clothes dryer,count,1,16,,,,,1,,,,,
57,3,use of cooking range,count,,,,,,,,,,,,
57,3,use of  oven,count,10,32,,,,,,,,,,
57,3,use of self-clean feature of electric oven,count,4,15,,,,,,,,,,
57,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
57,4,TV/computer use,count,62,23,,,,,,,,,,
57,5,air travel - large plane,miles,2111,51,,,,,,,,,,
57,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
57,5,car trips- self only,miles,354,57,,,,,1,,,,,
57,5,car trips - driver and self,miles,16,30,,,,,1,,,,,
57,5,car trips - 2+ people with multiple end points,miles,24,,,,,,1,,,,,
57,5,trips using public ground transportation,bags,12,46,,,,,,,,,,
57,6,bags of garbage disposed,bags,17,48,,,,,,,,,,
57,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
57,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
57,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
57,6,large items disposed,items,,18,,,,,,,,,,
58,1,Household heating => 70F,count,9,79,,1,,,,1,,,,
58,1,Household heating < 70F,count,6,76,,,,,,1,,,,
58,1,Use of heat pump,count,,47,,1,,,,,,,,
58,1,Use of air conditioner,count,32,58,,,,1,,,,,,
58,2,shower - short,count,7,86,,,,,,,,,,
58,2,shower - long (> 3 min),count,35,78,,,,,,,,,,
58,2,bath,count,,11,,,,,,,,,,
58,2,wash-up,count,55,33,,,,,,,,,,
58,3,use of dishwasher,count,,22,,,,,,,,,,
58,3,use of clothes washer,count,5,40,,1,,,,,,,,
58,3,use of clothes dryer,count,2,14,,,,,,,,,1,
58,3,use of cooking range,count,,,,,,,,,,,1,
58,3,use of  oven,count,12,34,,,,,,,,,1,
58,3,use of self-clean feature of electric oven,count,1,11,,,,,,,,,,
58,3,Small kitchen appliance in the home,count,,,,,,1,,,,,,
58,4,TV/computer use,count,61,27,,,,,,,,,,
58,5,air travel - large plane,miles,2899,51,,,,,,,,,,
58,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,
58,5,car trips- self only,miles,330,59,,,,,1,,,,,
58,5,car trips - driver and self,miles,40,19,,,,,1,,,,,
58,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
58,5,trips using public ground transportation,bags,12,55,,,,,,,,,,
58,6,bags of garbage disposed,bags,18,43,,,,,,,,,,
58,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
58,6,bags of compost deposited (negative CF),bags,5,11,,,,,,,,,,
58,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
58,6,large items disposed,items,2,18,,,,,,,,,,
59,1,Household heating => 70F,hours,9,80,,,,1,,1,,,,
59,1,Household heating < 70F,hours,8,85,,,,,1,1,,,,
59,1,Use of heat pump,hours,,46,,,,,,,,,,
59,1,Use of air conditioner,hours,13,52,,,,,,,,,,
59,2,shower - short,count,6,95,1,,,,,,,,,
59,2,shower - long (> 3 min),count,25,79,,,,,,,,,,
59,2,bath,count,,22,,,,,,,,,,
59,2,wash-up,count,55,34,,,,,,,,,,
59,3,use of dishwasher,count,,23,,,,,,,,,,
59,3,use of clothes washer,count,3,44,,,,,,,,,,
59,3,use of clothes dryer,count,1,18,,,,,,,,,,
59,3,use of cooking range,count,,,,,,,,,,,,
59,3,use of  oven,count,9,32,,,,,,,,,,
59,3,use of self-clean feature of electric oven,count,2,13,,,,,,,,,,
59,3,Small kitchen appliance in the home,count,,,,,,,,,,,,
59,4,TV/computer use,count,64,23,,,,,,,,,,
59,5,air travel - large plane,miles,3361,50,,,,,,,,,,
59,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,1
59,5,car trips- self only,miles,383,52,,,,,1,,,,,
59,5,car trips - driver and self,miles,16,32,,,,,1,,,,,
59,5,car trips - 2+ people with multiple end points,miles,,,,,,,1,,,,,
59,5,trips using public ground transportation,bags,12,54,,,,,,,,,,
59,6,bags of garbage disposed,bags,24,44,,,,,,,,,,
59,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
59,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
59,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
59,6,large items disposed,items,1,12,,,,,,,,,,
60,1,Household heating => 70F,count,9,71,,,1,,,1,,,,
60,1,Household heating < 70F,count,8,73,,,1,1,,1,,,,
60,1,Use of heat pump,count,,50,,,,,,,,,,
60,1,Use of air conditioner,count,16,58,,,,,,,1,,,
60,2,shower - short,count,8,97,,,,,,,,,,
60,2,shower - long (> 3 min),count,26,72,,,,,,,,,,
60,2,bath,count,,12,,,,,,,,,,
60,2,wash-up,count,52,42,,,,,,,,,,
60,3,use of dishwasher,count,,20,,,,,,,,,,
60,3,use of clothes washer,count,2,33,,,,,,,,,,
60,3,use of clothes dryer,count,1,13,,,,,,,,,1,
60,3,use of cooking range,count,,,,,,,,,,,1,
60,3,use of  oven,count,11,41,1,,,1,,,,,1,
60,3,use of self-clean feature of electric oven,count,4,18,,,,,,,,,,
60,3,Small kitchen appliance in the home,count,60,,,,,,,,,,,
60,4,TV/computer use,count,63,21,,1,,,,,,,,
60,5,air travel - large plane,miles,3101,43,,,,,,,,,,
60,5,air travel - small  plane (<50 seats),miles,,,,,,,,,,,,1
60,5,car trips- self only,miles,425,53,,,,,1,,,,,
60,5,car trips - driver and self,miles,14,30,,,,,1,,,,,
60,5,car trips - 2+ people with multiple end points,miles,12,,,,,,1,,,,,
60,5,trips using public ground transportation,bags,19,49,,,,,,,,,,
60,6,bags of garbage disposed,bags,21,51,,,,,,,,,,
60,6,bags of recycling deposited (negative CF),bags,,,,,,,,,,,,
60,6,bags of compost deposited (negative CF),bags,,,,,,,,,,,,
60,6,hazardous or electric items disposed,bags,,,,,,,,,,,,
60,6,large items disposed,items,,16,,,,,,,,,,
61,1,Household heating => 70F,hours,7,75,,,,,,1,,,,
61,1,Household heating < 70F,hours,1,80,,,,,,1,,,,
61,1,Use of heat pump,hours,,51,,,,,,,,,,
61,1,Use of air conditioner,hours,23,39,,1,1,,,,,1,,
61,2,shower - short,count,4,92,,,,,,,,,,
61,2,shower - long (> 3 min),count,21,84,,,,,,,,,,
61,2,bath,count,,22,,,1,,,,,,,
61,2,wash-up,count,33,27,,,,1,,,,,,
61,3,use of dishwasher,count,,25,,,,,1,,,,,
61,3,use of clothes washer,count,4,32,,,,,,,,,,
61,3,use of clothes dryer,count,1,19,,,,,,,,,,
61,3,use of cooking range,count,,,,,,,,,,,,
61,3,use of  oven,count,12,36,,,,,,,,,,
